,income_type,children,days_employed,dob_years,education_id,family_status_id,gender,debt,total_income,purpose,total_income_category,purpose_category
0,компаньон,0,191.1467457844417,64,0,1,F,0,186408,свадьба,C,проведение свадьбы
1,компаньон,0,563.9370284307207,33,1,0,M,0,161976,на покупку своего автомобиля,C,операции с автомобилем
2,компаньон,2,1653.2725398991834,25,0,0,F,0,102955,автомобиль,C,операции с автомобилем
3,сотрудник,1,2194.220566878695,33,1,0,F,0,142594,покупка жилья,C,операции с недвижимостью
4,сотрудник,0,253.80635463648645,23,1,1,M,0,64992,на проведение свадьбы,C,проведение свадьбы
5,пенсионер,0,394372.118413896,52,0,4,F,0,163091,сделка с подержанным автомобилем,C,операции с автомобилем
6,сотрудник,1,677.605977287625,54,1,1,M,0,114522,жилье,C,операции с недвижимостью
7,сотрудник,1,633.3155423814244,55,1,0,M,1,135718,на покупку автомобиля,C,операции с автомобилем
8,сотрудник,1,4209.1957891718075,49,1,1,F,0,107243,на проведение свадьбы,C,проведение свадьбы
9,компаньон,1,2399.070647090589,33,1,0,M,0,240622,строительство собственной недвижимости,B,операции с недвижимостью
10,сотрудник,1,2131.771406367805,34,0,4,F,0,229419,высшее образование,B,получение образования
11,компаньон,2,906.5194461676692,0,0,0,F,0,215477,операции с жильем,B,операции с недвижимостью
12,компаньон,0,3214.138897463785,54,1,1,F,0,115390,свадьба,C,проведение свадьбы
13,компаньон,1,1862.917253993262,27,0,3,F,0,573269,покупка недвижимости,B,операции с недвижимостью
14,сотрудник,0,2194.220566878695,33,1,0,F,1,142594,сделка с подержанным автомобилем,C,операции с автомобилем
15,сотрудник,0,659.7022899427086,21,1,4,F,0,109931,заняться высшим образованием,C,получение образования
16,госслужащий,0,242.51186097165126,58,1,1,M,0,160216,на проведение свадьбы,C,проведение свадьбы
17,сотрудник,0,438.82814308291535,30,1,0,F,0,73160,свой автомобиль,C,операции с автомобилем
18,сотрудник,2,986.2948340803804,28,0,0,F,0,48539,получение дополнительного образования,D,получение образования
19,пенсионер,0,331096.4408332463,52,1,0,F,0,124401,операции с жильем,C,операции с недвижимостью
20,компаньон,0,419.57864615626676,28,0,4,F,0,117053,покупка жилой недвижимости,C,операции с недвижимостью
21,сотрудник,1,2514.3219208648857,41,1,1,F,0,139419,сыграть свадьбу,C,проведение свадьбы
22,пенсионер,0,340311.11602718546,64,3,0,M,0,212638,операции со своей недвижимостью,B,операции с недвижимостью
23,госслужащий,0,15079.216068566155,55,1,0,F,0,178761,операции с жильем,C,операции с недвижимостью
24,сотрудник,0,2061.2071681655107,29,1,4,M,0,194015,профильное образование,C,получение образования
